datetime_est,ulid,event_ulid,news_batch_size,news_batch_summary,news_sentiment,news_sentiment_intensity,news_sentiment_explanation,news_dominant_sentiment,next_news_prediction,fg_label,fg_score,fg_key_factors,price_change,price_change_pct,price_change_anomaly,volume_normalized,volume_zscore,volume_percentile,volume_anomaly,volatility_10,volatility_30,volatility_60,volatility_anomaly,rsi,ema_7,ema_14,ema_50,ema_200,macd,macd_signal,bollinger_upper,bollinger_lower,atr_14
2025-02-24 01:50:00,"['8561885007', '8561887435', '8561890591', '8561890633']","['eng-10361688', nan, 'deu-1912304', 'eng-10368269']",4,"Whales are accumulating Rollblock (RBLK) as Solana and XRP recover, indicating confidence in its potential for significant price surges in the GameFi sector, while a proposed Bitcoin reserve strategy could help mitigate U.S. national debt, and Montana's attempt to designate Bitcoin as a state reserve asset has failed amid concerns over cryptocurrency risks.","['Caution', 'Uncertainty', 'Skepticism']",6.0,"The average retail investor may feel uncertain after reading the mixed signals about various cryptocurrencies, including the promising potential of Rollblock and the cautious stance on Bitcoin in Montana. This information overload may lead to indecision on whether to invest or hold back, causing some to feel overwhelmed by the rapid changes in market sentiment and predictions from analysts.",CONFUSION,none,Fear,40.0,"['Recent pullback in Bitcoin and Solana prices, indicating market uncertainty.', 'Whale accumulation suggests cautious optimism but highlights underlying volatility.', 'Mixed performance metrics for XRP despite ETF news, indicating limited institutional support.']",38.38,0.04,False,0.01,-0.67,0.13,False,0.0008369820375149743,0.0012257010712053394,0.001207838096188043,False,57.54,95798.89,95734.59,95784.53,96052.78,9.45,-45.94,95992.83,95227.27,764.6900000000023
2025-02-24 02:00:00,"['2025-02-641465642', '2025-02-641468865', '2025-02-641468957', '8561895149', '8561895300', '8561895308', '8561899011', '8561899012']","[nan, nan, 'eng-10362954', 'deu-1912304', nan, 'eng-10366804', 'eng-10368121', nan]",8,"Bitcoin's price dipped to $95,610 following a significant $1.5 billion hack at crypto exchange Bybit, raising investor concerns amid U.S. interest rate uncertainties and weak economic data, while altcoins also faced declines in a risk-off market atmosphere.","['Caution', 'Anxiety', 'Pessimism']",8.0,"The significant hack at Bybit, coupled with the drop in Bitcoin prices and overall market uncertainty, is likely to evoke fear and urgency among retail investors. Many may feel the need to sell immediately to avoid further losses, driven by a fear of losing their investments amidst such negative news.",PANIC,none,Fear,40.0,"['Bitcoin experienced a decline of 0.8% to $95,610, with a drop of 1% last week.', 'The Bybit hack involving $1.5 billion worth of Ethereum has heightened negative sentiment.', ""Investors are cautious due to uncertainties regarding the U.S. Federal Reserve's interest rate outlook and weak economic indicators.""]",4.89,0.01,False,0.02,-0.55,0.26,False,0.0008417602211074505,0.0011863016587576683,0.0012053105450637706,False,57.72,95827.99,95758.68,95789.66,96051.42,22.32,-32.28,96029.1,95216.79,708.8800000000047
2025-02-24 02:10:00,"['8561904372', '8561904411', '8561904794']","['eng-10368648', 'eng-10368337', nan]",3,"A Brazilian man, Dover T. Braga, faces up to 20 years in prison after being extradited to the U.S. for operating a $290 million Bitcoin Ponzi scheme through his fraudulent platform, Trade Coin Club, which deceived investors worldwide by falsely promising lucrative returns.","['Concern', 'Anxiety', 'Caution']",8.0,"The news of significant outflows from Bitcoin ETFs, alongside the revelation of a major Ponzi scheme, is likely to evoke a strong emotional response of fear and urgency among retail investors. Concerns about market stability, potential losses, and the overall integrity of cryptocurrency investments can lead to a panic reaction, prompting many to sell their holdings in haste.",PANIC,none,Fear,35.0,"['Significant outflows from Bitcoin ETFs indicating shifting investor sentiment and potential market concerns.', 'The legal troubles surrounding a major Bitcoin Ponzi scheme, raising alarms about fraud in the cryptocurrency space.', 'Expert commentary suggesting investors are moving to cash due to economic uncertainty and declining market trends.']",-95.18,-0.1,False,0.02,-0.56,0.25,False,0.0006611940407671954,0.0011760726080552143,0.0012096408402416964,False,52.99,95826.02,95766.87,95790.85,96049.11,24.55,-20.92,96049.56,95229.72,704.4199999999983
2025-02-24 02:20:00,"['2025-02-641480454', '8561913535', '8561918135', '8561918893', '8561924831', '8561928639']","[nan, nan, nan, nan, nan, 'eng-10368157']",6,"HK Asia has received board approval to expand its Bitcoin holdings by purchasing an additional 7.88 BTC for approximately $761,705, raising its total to 8.88 BTC, which has positively impacted its stock price.","['Optimism', 'Confidence', 'Anticipation']",6.0,"Retail investors are likely to feel encouraged by the news of significant purchases by company executives and the positive market reactions that followed. The increase in Bitcoin holdings by HK Asia and similar firms suggests a growing acceptance and belief in the cryptocurrency's long-term value, which might lead investors to consider buying in anticipation of potential future gains.",OPTIMISM,none,Greed,68.0,"[""Moritz Eckert's acquisition of shares in Bitcoin Group SE indicates confidence from management."", ""HK Asia's expansion of Bitcoin holdings reflects a growing trend among companies to invest in cryptocurrencies."", 'Recent recovery in Bitcoin and Ethereum prices after significant market dips suggests positive market sentiment.']",35.97,0.04,False,0.01,-0.72,0.07,False,0.0006572804258075364,0.001176913001628534,0.0012093263048604734,False,54.51,95833.53,95778.77,95793.41,96047.19,28.9,-10.95,96072.33,95230.27,574.5599999999977
2025-02-24 02:30:00,"['2025-02-641493809', '2025-02-641493810', '8561932454', '8561932690', '8561933163', '8561934414']","['eng-10369440', 'eng-10368269', nan, nan, 'eng-10369440', 'eng-10366558']",6,"HK Asia Holdings has acquired 7.88 BTC for $761,705, raising its total Bitcoin assets to approximately 8.88 BTC, while the Montana House rejected a Bitcoin reserve bill, and analysts express mixed forecasts for Bitcoin's price amid market fluctuations and growing institutional investments.","['Optimism', 'Confidence', 'Excitement']",8.0,"Retail investors are likely feeling a sense of urgency and excitement as they witness significant developments and bullish trends in the cryptocurrency market, particularly with the recent positive news surrounding Bitcoin and the launch of a promising new meme coin. This creates a fear of missing out on potential profits, prompting investors to act quickly to capitalize on perceived opportunities.",FOMO,none,Greed,68.0,"[""HK Asia's significant stock surge (93%) following Bitcoin purchase indicates strong bullish sentiment."", ""Institutional investments, such as Strategy's $2 billion bond issuance and increased stakes by firms like BlackRock, reflect confidence in Bitcoin."", 'Optimistic forecasts from analysts about Bitcoin reaching new all-time highs, despite some market volatility.']",57.9,0.06,False,0.01,-0.66,0.13,False,0.0006605798883037144,0.0011703997958099498,0.0012115656230162388,False,56.92,95853.64,95796.79,95798.14,96045.87,36.59,-1.45,96102.03,95242.74,574.5599999999977
2025-02-24 02:40:00,['2025-02-641500312'],[nan],1,"Bitcoin's price dipped to around $95,000 following a 3% drop due to a hack on Bybit Exchange, but technical indicators suggest potential for a rebound towards $100,000 as new wallet activity spikes.","['Caution', 'Optimism', 'Interest']",5.0,"Retail investors may feel uncertain due to mixed signals from the market, with a notable price drop followed by stabilization and discussions of potential upward momentum. This confusion can lead to indecision about whether to hold, sell, or buy, as they grapple with the implications of both the recent hack and the optimistic projections.",CONFUSION,none,Neutral,55.0,"[""Bitcoin's recent 3% drop due to a hack but has stabilized above $95,000"", 'Increase in trading volume by 10%, indicating renewed interest', 'Emergence of 200,000 new BTC wallets suggesting new investor engagement', 'Technical analysis shows key price levels and potential upward momentum']",-71.52,-0.07,False,0.01,-0.66,0.13,False,0.0007140456446103702,0.0011746028361046136,0.0012155279992073036,False,53.17,95850.84,95802.88,95799.88,96043.84,36.49,6.14,96108.19,95282.95,465.4799999999959
2025-02-24 02:50:00,"['8561958238', '8561960463']","['spa-3763838', nan]",2,"La baja volatilidad del Bitcoin, junto con la acumulación institucional y una postura regulatoria favorable, sugiere que un gran movimiento de precios podría estar próximo, con un rango de soporte en $90,000 y resistencia en $108,000, donde una ruptura confirmaría una tendencia alcista.","['optimism', 'confidence', 'anticipation']",7.0,"Retail investors are likely to feel optimistic about the potential for a significant price movement in Bitcoin, driven by the recent institutional interest and favorable regulatory news. This optimism can lead to increased buying activity, especially if they perceive a breakout above key resistance levels as an opportunity to capitalize on potential gains.",OPTIMISM,none,Greed,68.0,"['Institutional accumulation and favorable regulatory changes are seen as catalysts for a Bitcoin price increase.', 'Historical patterns indicate that low volatility precedes significant price movements, suggesting bullish potential.', 'Technical indicators, such as Bollinger Bands, indicate a possible upcoming volatility spike.', 'Current price action shows a strong technical structure with key support and resistance levels indicating bullish trends.']",85.1,0.09,False,0.01,-0.71,0.08,False,0.0006613941570258536,0.0011418227471787965,0.0012194462640716327,False,56.81,95870.02,95819.5,95804.88,96042.69,42.79,13.47,96089.75,95372.13,322.2100000000064
2025-02-24 03:00:00,"['2025-02-641516261', '2025-02-641516705', '8561970234', '8561976780']","['eng-10368225', 'eng-10369440', 'eng-10369635', nan]",4,"The ongoing debate between XRP and Bitcoin intensifies as a legal expert highlights upcoming developments amid market volatility, with Bitcoin maintaining stability around $95,000 while altcoins like Ethereum and Solana show mixed performance, and key U.S. economic events potentially influencing future price movements.","['caution', 'uncertainty', 'concern']",6.0,"The average retail investor may feel overwhelmed by the conflicting updates regarding XRP and Bitcoin, along with the potential impact of upcoming economic events. This uncertainty can lead to hesitation in decision-making, as investors grapple with mixed signals and the complexity of the situation, which could prompt some to hold off on making major investment choices.",CONFUSION,none,Fear,40.0,"[""Bitcoin's slight dip of 0.99% indicates cautious sentiment among investors."", 'Mixed performance of altcoins like Ethereum and Solana suggests uncertainty in the market.', 'Recent ETF outflows and macroeconomic pressures contribute to a risk-off sentiment.', 'Ongoing legal challenges for XRP create a backdrop of volatility and concern.', 'Anticipation of upcoming economic data may lead to further caution among investors.']",-102.73,-0.11,False,0.02,-0.5,0.32,False,0.0007714948406759828,0.0011552962627524135,0.0012251955296477364,False,51.6,95858.72,95820.21,95805.66,96040.52,39.04,18.58,96084.79,95414.8,322.2100000000064
2025-02-24 03:10:00,"['8561983591', '8561984306', '8561985338', '8561988061', '8561989732', '8561993540']","['eng-10368648', nan, 'eng-10366151', 'eng-10367728', 'eng-10367728', 'spa-3764398']",6,"Several recent developments in the cryptocurrency space include Franklin Templeton's filing for a Solana ETF amid rising interest in digital assets, Hong Kong Asia Holdings' expansion of Bitcoin investments in response to the city's plan to become a global virtual asset hub, and market analysts predicting Bitcoin's continued uptrend with targets around $99,000 to $100,000, while El Salvador's experiment with Bitcoin as legal tender faces significant setbacks and reforms.","['Optimism', 'Excitement', 'Confidence']",6.0,"The average retail investor is likely to feel uncertain and overwhelmed by mixed signals coming from various news sources regarding Bitcoin and the broader cryptocurrency market. With contrasting reports of optimism and failures, such as El Salvador's experience with Bitcoin, investors may be unsure about the direction to take, leading to indecisiveness and caution in their trading strategies.",CONFUSION,none,Greed,68.0,"[""Growing interest in cryptocurrencies beyond Bitcoin, as evidenced by Franklin Templeton's ETF filing for Solana."", ""Positive outlook from analysts predicting Bitcoin's price targets around $99,000 to $100,000, indicating bullish sentiment."", 'Increased investments in Bitcoin by companies like Hong Kong Asia Holdings, showing institutional confidence in the market.', 'The overall expansion of crypto-friendly regulations in regions such as Hong Kong, attracting institutional investors.']",-145.62,-0.15,False,0.02,-0.47,0.35,False,0.0008390332048556929,0.0011851869509878455,0.0012391969674868395,False,45.26,95813.84,95801.41,95800.71,96036.92,24.04,19.67,96043.25,95490.43,322.2100000000064
2025-02-24 03:20:00,['8562000157'],['eng-10367337'],1,"Bitcoin's rebound above $97,000 reignites interest in altcoins, particularly SUI, Sonic (S), and DTX Exchange, with SUI demonstrating resilience near $3.50 and DTX's presale surge attracting whale interest, highlighting opportunities in the evolving DeFi landscape.","['Optimism', 'Excitement', 'Confidence']",7.0,"The news of Bitcoin recovering above $97,000 likely instills a sense of optimism among retail investors, encouraging them to consider buying altcoins. The positive sentiment surrounding potential growth in altcoins like SUI and DTX, coupled with the notion of strategic investments, can lead investors to feel confident about entering the market, despite the previous declines.",OPTIMISM,none,Greed,68.0,"[""Bitcoin's recovery above $97,000 indicates renewed market confidence and interest."", 'Strong performance of altcoins like SUI and DTX Exchange, with significant gains and presale success.', 'Expert commentary highlights opportunities in the altcoin sector, suggesting bullish sentiment and optimism among investors.']",-198.04,-0.21,False,0.04,-0.16,0.6,False,0.0010040878722691038,0.0011867322813470475,0.0012670470208481853,False,38.35,95730.67,95758.71,95788.17,96031.39,-3.78,14.98,96035.46,95502.35,522.9100000000035
2025-02-24 03:30:00,"['2025-02-641541710', '2025-02-641547049', '8562009258', '8562010818', '8562011931', '8562015284', '8562020093', '8562020750', '8562021695']","['eng-10369440', 'eng-10368337', 'eng-10362097', 'spa-3763186', 'eng-10368648', nan, 'eng-10368269', nan, 'eng-10362954']",9,"Bitcoin struggles to maintain its position below $96,000 amid market pressures from a significant crypto hack, while only 44% of inflows into U.S. Bitcoin ETFs reflect long-term investments, indicating a dominance of short-term trading strategies, as the cryptocurrency landscape witnesses emerging projects like Bitcoin Pepe offering alternative investment opportunities amidst volatility.","['Panic', 'Caution', 'Uncertainty']",7.0,"The news highlights significant market volatility due to a major crypto hack, which tends to trigger fear among retail investors. The potential for losses and uncertainty surrounding the security of exchanges can lead to a defensive mentality, prompting investors to consider reducing their exposure to cryptocurrencies or pulling out altogether.",FEAR,none,Fear,35.0,"['Recent crypto market volatility due to a significant hack affecting Bybit, resulting in panic selling and withdrawal.', 'Bitcoin struggling below key resistance levels and major altcoins experiencing significant declines.', 'Concerns over short-term trading strategies dominating Bitcoin ETF inflows instead of long-term investment.', 'Legislative failures regarding Bitcoin reserves in Montana, indicating regulatory hesitance and uncertainty.']",53.01,0.06,False,0.03,-0.4,0.42,False,0.0010190228087020112,0.0011628435015017694,0.0012601933368114335,False,40.95,95681.54,95728.77,95778.21,96026.45,-21.31,7.72,96033.77,95505.24,558.4199999999983
2025-02-24 03:40:00,"['8562028737', '8562033671', '8562035005']","['eng-10368121', nan, nan]",3,"A Wall Street mathematician predicts Bitcoin's growth is just beginning, foreseeing massive returns in the next 20 to 30 years due to increased institutional adoption driven by new spot Bitcoin ETFs, while Indian platform Pi42 simplifies Bitcoin futures trading with INR-settled options to make it more accessible and tax-efficient for local investors.","['optimism', 'excitement', 'confidence']",7.0,"The news about Bitcoin's potential for massive future returns and the introduction of Bitcoin ETFs is likely to evoke a sense of optimism among retail investors. They may feel excited about new opportunities and be tempted to buy Bitcoin, driven by the fear of missing out on considerable gains. This sentiment is amplified by the mathematician's historical analogy with Apple's growth, triggering a hopeful perspective on Bitcoin's trajectory.",OPTIMISM,none,Greed,66.0,"[""Strong positive predictions for Bitcoin's future growth and adoption by affluent investors."", 'Introduction of spot Bitcoin ETFs is seen as a major catalyst for institutional investment.', 'Innovative trading solutions like INR-based futures simplify access for Indian traders, boosting optimism.', 'Overall bullish sentiment from industry experts and positive market performance indicators.']",92.24,0.1,False,0.01,-0.61,0.19,False,0.0011009866451232593,0.0011740233714512209,0.001245314562105595,False,45.27,95667.76,95715.12,95772.26,96022.47,-27.44,0.69,96024.65,95523.08,558.4199999999983
2025-02-24 03:50:00,['2025-02-641563395'],[nan],1,"El mercado de criptomonedas se encuentra en alerta tras el hackeo de 1.400 millones de dólares en Bybit, con Bitcoin fluctuando entre 95.000 y 96.000 dólares y una tendencia bajista en el sentimiento del mercado, mientras Ethereum se recupera y se espera un informe sobre la inflación que podría influir en las decisiones de la Reserva Federal.","['Pessimism', 'Anxiety', 'Caution']",7.0,"Retail investors are likely to feel anxious and cautious due to the significant hack of Bybit and the bearish signals in the market, leading to a heightened desire to reduce risk. The combination of recent market declines, increased short positions, and the uncertainty surrounding upcoming economic indicators could amplify their concerns about potential losses.",FEAR,none,Fear,40.0,"['Significant hack of Bybit exchange resulting in a $1.4 billion impact.', 'Bitcoin unable to break the $100,000 mark and experiencing a decline.', 'High liquidation levels in the cryptocurrency market, indicating panic among traders.', 'Over 50% of derivative traders holding short positions, suggesting bearish sentiment.', 'Global cryptocurrency market cap decreased by 0.27% in the last 24 hours.']",-55.25,-0.06,False,0.01,-0.72,0.07,False,0.0010796627864149144,0.0011307343282309947,0.0012398777742491807,False,43.23,95643.61,95695.93,95764.37,96017.98,-36.34,-6.72,96031.5,95498.24,558.4199999999983
